Points,3000m,3000m sh,2 Miles,2 Miles sh,5000m,5000m sh,10000m,600m,600m sh,800m,800m sh,1000m,1000m sh,1500m,1500m sh,Mile,Mile sh,2000m,2000m sh,2000m SC,3000m SC
320,10:41.84,10:43.90,11:31.44,11:36.32,18:20.60,18:27.81,39:28.53,1:40.69,1:42.35,2:21.79,2:23.73,3:04.11,3:06.99,4:56.28,4:58.71,5:19.51,5:21.87,6:46.87,6:49.00,8:03.13,12:27.70
321,10:41.53,10:43.60,11:31.11,11:35.99,18:20.07,18:27.29,39:27.31,1:40.65,1:42.31,2:21.73,2:23.67,3:04.03,3:06.91,4:56.14,4:58.57,5:19.36,5:21.73,6:46.68,6:48.82,8:02.86,12:27.28
322,10:41.23,10:43.29,11:30.78,11:35.67,18:19.54,18:26.78,39:26.09,1:40.60,1:42.26,2:21.67,2:23.61,3:03.95,3:06.83,4:56.00,4:58.44,5:19.22,5:21.58,6:46.49,6:48.63,8:02.58,12:26.85
323,10:40.92,10:42.99,11:30.44,11:35.34,18:19.01,18:26.26,39:24.88,1:40.56,1:42.22,2:21.61,2:23.54,3:03.86,3:06.74,4:55.87,4:58.30,5:19.07,5:21.44,6:46.30,6:48.45,8:02.30,12:26.43
324,10:40.61,10:42.68,11:30.11,11:35.01,18:18.48,18:25.74,39:23.66,1:40.51,1:42.17,2:21.54,2:23.48,3:03.78,3:06.66,4:55.73,4:58.16,5:18.92,5:21.29,6:46.11,6:48.26,8:02.03,12:26.01
325,10:40.30,10:42.38,11:29.78,11:34.68,18:17.96,18:25.23,39:22.45,1:40.47,1:42.13,2:21.48,2:23.42,3:03.70,3:06.58,4:55.59,4:58.03,5:18.77,5:21.15,6:45.92,6:48.08,8:01.76,12:25.58
326,-,10:42.07,11:29.45,11:34.36,18:17.43,18:24.71,39:21.24,1:40.42,1:42.08,2:21.42,2:23.36,3:03.62,3:06.50,4:55.45,4:57.89,5:18.62,5:21.00,6:45.74,6:47.89,8:01.48,12:25.16
327,10:39.69,10:41.77,11:29.12,11:34.03,18:16.91,18:24.20,39:20.03,1:40.38,1:42.04,2:21.36,2:23.29,3:03.53,3:06.41,4:55.32,4:57.76,5:18.47,5:20.86,6:45.55,6:47.71,8:01.21,12:24.74
328,10:39.38,10:41.47,11:28.79,11:33.71,18:16.38,18:23.69,39:18.82,1:40.33,1:41.99,2:21.29,2:23.23,3:03.45,3:06.33,4:55.18,4:57.62,5:18.33,5:20.71,6:45.36,6:47.52,8:00.93,12:24.32
329,10:39.08,10:41.16,11:28.46,11:33.38,18:15.86,18:23.17,39:17.62,1:40.29,1:41.95,2:21.23,2:23.17,3:03.37,3:06.25,4:55.04,4:57.49,5:18.18,5:20.57,6:45.17,6:47.34,8:00.66,12:23.90
330,10:38.77,10:40.86,11:28.13,11:33.06,18:15.34,18:22.66,39:16.41,1:40.24,1:41.91,2:21.17,2:23.11,3:03.29,3:06.17,4:54.91,4:57.35,5:18.03,5:20.43,6:44.99,6:47.16,8:00.39,12:23.48
331,10:38.47,10:40.56,11:27.81,11:32.73,18:14.81,18:22.15,39:15.21,1:40.20,1:41.86,2:21.11,2:23.05,3:03.20,3:06.09,4:54.77,4:57.22,5:17.89,5:20.28,6:44.80,6:46.97,8:00.12,12:23.06
332,10:38.16,10:40.26,11:27.48,11:32.41,18:14.29,18:21.64,39:14.01,1:40.16,1:41.82,2:21.05,2:22.98,3:03.12,3:06.01,4:54.63,4:57.09,5:17.74,5:20.14,6:44.62,6:46.79,7:59.85,12:22.64
333,10:37.86,10:39.96,11:27.15,11:32.09,18:13.77,18:21.13,39:12.81,1:40.11,1:41.77,2:20.99,2:22.92,3:03.04,3:05.92,4:54.50,4:56.95,5:17.59,5:20.00,6:44.43,6:46.61,7:59.58,12:22.23
334,10:37.56,10:39.66,11:26.83,11:31.76,18:13.25,18:20.62,39:11.62,1:40.07,1:41.73,2:20.92,2:22.86,3:02.96,3:05.84,4:54.36,4:56.82,5:17.45,5:19.86,6:44.24,6:46.43,7:59.30,12:21.81
335,10:37.25,10:39.36,11:26.50,11:31.44,18:12.73,18:20.12,39:10.42,1:40.02,1:41.69,2:20.86,2:22.80,3:02.88,3:05.76,4:54.23,4:56.69,5:17.30,5:19.71,6:44.06,6:46.25,7:59.03,12:21.39
336,10:36.95,10:39.06,11:26.17,11:31.12,18:12.22,18:19.61,39:09.23,1:39.98,1:41.64,2:20.80,2:22.74,3:02.80,3:05.68,4:54.09,4:56.55,5:17.16,5:19.57,6:43.87,6:46.06,7:58.76,12:20.98
337,10:36.65,10:38.76,11:25.85,11:30.80,18:11.70,18:19.10,39:08.04,1:39.94,1:41.60,2:20.74,2:22.68,3:02.71,3:05.60,4:53.96,4:56.42,5:17.01,5:19.43,6:43.69,6:45.88,7:58.49,12:20.56
338,10:36.35,10:38.46,11:25.52,11:30.48,18:11.18,18:18.60,39:06.85,1:39.89,1:41.56,2:20.68,2:22.62,3:02.63,3:05.52,4:53.82,4:56.29,5:16.86,5:19.29,6:43.51,6:45.70,7:58.23,12:20.15
339,10:36.05,10:38.16,11:25.20,11:30.16,18:10.67,18:18.09,39:05.67,1:39.85,1:41.51,2:20.62,2:22.55,3:02.55,3:05.44,4:53.69,4:56.15,5:16.72,5:19.15,6:43.32,6:45.52,7:57.96,12:19.74
340,10:35.75,10:37.87,11:24.88,11:29.84,18:10.15,18:17.59,39:04.48,1:39.80,1:41.47,2:20.56,2:22.49,3:02.47,3:05.36,4:53.55,4:56.02,5:16.57,5:19.00,6:43.14,6:45.34,7:57.69,12:19.32
341,10:35.45,10:37.57,11:24.55,11:29.52,18:09.64,18:17.09,39:03.30,1:39.76,1:41.43,2:20.50,2:22.43,3:02.39,3:05.28,4:53.42,4:55.89,5:16.43,5:18.86,6:42.95,6:45.16,7:57.42,12:18.91
342,10:35.15,10:37.27,11:24.23,11:29.20,18:09.12,18:16.58,39:02.11,1:39.72,1:41.38,2:20.43,2:22.37,3:02.31,3:05.20,4:53.28,4:55.76,5:16.29,5:18.72,6:42.77,6:44.98,7:57.15,12:18.50
343,10:34.85,10:36.98,11:23.91,11:28.88,18:08.61,18:16.08,39:00.93,1:39.67,1:41.34,2:20.37,2:22.31,3:02.23,3:05.12,4:53.15,4:55.63,5:16.14,5:18.58,6:42.59,6:44.80,7:56.89,12:18.09
344,10:34.55,10:36.68,11:23.59,11:28.57,18:08.10,18:15.58,38:59.76,1:39.63,1:41.30,2:20.31,2:22.25,3:02.15,3:05.04,4:53.01,4:55.49,5:16.00,5:18.44,6:42.41,6:44.62,7:56.62,12:17.68
345,10:34.25,10:36.39,11:23.27,11:28.25,18:07.59,18:15.08,38:58.58,1:39.59,1:41.25,2:20.25,2:22.19,3:02.07,3:04.96,4:52.88,4:55.36,5:15.85,5:18.30,6:42.22,6:44.44,7:56.35,12:17.27
346,10:33.95,10:36.09,11:22.94,11:27.93,18:07.08,18:14.58,38:57.40,1:39.54,1:41.21,2:20.19,2:22.13,3:01.99,3:04.88,4:52.75,4:55.23,5:15.71,5:18.16,6:42.04,6:44.26,7:56.09,12:16.86
347,10:33.65,10:35.80,11:22.62,11:27.61,18:06.57,18:14.08,38:56.23,1:39.50,1:41.17,2:20.13,2:22.07,3:01.91,3:04.80,4:52.61,4:55.10,5:15.57,5:18.02,6:41.86,6:44.08,7:55.82,12:16.45
348,10:33.36,10:35.50,11:22.30,11:27.30,18:06.06,18:13.58,38:55.06,1:39.46,1:41.12,2:20.07,2:22.01,3:01.83,3:04.72,4:52.48,4:54.97,5:15.42,5:17.88,6:41.68,6:43.91,7:55.56,12:16.04
349,10:33.06,10:35.21,11:21.98,11:26.98,18:05.55,18:13.09,38:53.89,1:39.41,1:41.08,2:20.01,2:21.95,3:01.75,3:04.64,4:52.35,4:54.84,5:15.28,5:17.74,6:41.50,6:43.73,7:55.29,12:15.63
350,10:32.76,10:34.92,11:21.67,11:26.67,18:05.04,18:12.59,38:52.72,1:39.37,1:41.04,2:19.95,2:21.89,3:01.67,3:04.56,4:52.22,4:54.71,5:15.14,5:17.60,6:41.32,6:43.55,7:55.03,12:15.23
351,10:32.47,10:34.62,11:21.35,11:26.35,18:04.54,18:12.09,38:51.55,1:39.33,1:41.00,2:19.89,2:21.83,3:01.59,3:04.48,4:52.08,4:54.58,5:15.00,5:17.46,6:41.13,6:43.37,7:54.76,12:14.82
352,10:32.17,10:34.33,11:21.03,11:26.04,18:04.03,18:11.60,38:50.39,1:39.29,1:40.95,2:19.83,2:21.77,3:01.51,3:04.40,4:51.95,4:54.45,5:14.85,5:17.33,6:40.95,6:43.19,7:54.50,12:14.41
353,10:31.88,10:34.04,11:20.71,11:25.73,18:03.53,18:11.11,38:49.22,1:39.24,1:40.91,2:19.77,2:21.71,3:01.43,3:04.32,4:51.82,4:54.32,5:14.71,5:17.19,6:40.77,6:43.02,7:54.24,12:14.01
354,10:31.58,10:33.75,11:20.39,11:25.41,18:03.02,18:10.61,38:48.06,1:39.20,1:40.87,2:19.71,2:21.65,3:01.35,3:04.25,4:51.69,4:54.19,5:14.57,5:17.05,6:40.59,6:42.84,7:53.97,12:13.60
355,10:31.29,10:33.46,11:20.08,11:25.10,18:02.52,18:10.12,38:46.90,1:39.16,1:40.82,2:19.65,2:21.59,3:01.27,3:04.17,4:51.56,4:54.06,5:14.43,5:16.91,6:40.41,6:42.66,7:53.71,12:13.20
356,10:31.00,10:33.17,11:19.76,11:24.79,18:02.01,18:09.63,38:45.74,1:39.11,1:40.78,2:19.59,2:21.53,3:01.19,3:04.09,4:51.42,4:53.93,5:14.29,5:16.77,6:40.23,6:42.49,7:53.45,12:12.80
357,10:30.70,10:32.88,11:19.45,11:24.48,18:01.51,18:09.13,38:44.59,1:39.07,1:40.74,2:19.53,2:21.47,3:01.11,3:04.01,4:51.29,4:53.80,5:14.14,5:16.63,6:40.06,6:42.31,7:53.19,12:12.39
358,10:30.41,10:32.59,11:19.13,11:24.16,18:01.01,18:08.64,38:43.43,1:39.03,1:40.70,2:19.47,2:21.41,3:01.03,3:03.93,4:51.16,4:53.67,5:14.00,5:16.50,6:39.88,6:42.14,7:52.93,12:11.99
359,10:30.12,10:32.30,11:18.82,11:23.85,18:00.51,18:08.15,38:42.28,1:38.99,1:40.66,2:19.41,2:21.35,3:00.95,3:03.85,4:51.03,4:53.54,5:13.86,5:16.36,6:39.70,6:41.96,7:52.66,12:11.59
360,10:29.82,10:32.01,11:18.50,11:23.54,18:00.01,18:07.66,38:41.13,1:38.94,1:40.61,2:19.35,2:21.29,3:00.88,3:03.78,4:50.90,4:53.41,5:13.72,5:16.22,6:39.52,6:41.78,7:52.40,12:11.19
361,10:29.53,10:31.72,11:18.19,11:23.23,17:59.51,18:07.17,38:39.98,1:38.90,1:40.57,2:19.30,2:21.23,3:00.80,3:03.70,4:50.77,4:53.28,5:13.58,5:16.08,6:39.34,6:41.61,7:52.14,12:10.79
362,10:29.24,10:31.43,11:17.87,11:22.92,17:59.01,18:06.69,38:38.83,1:38.86,1:40.53,2:19.24,2:21.17,3:00.72,3:03.62,4:50.64,4:53.16,5:13.44,5:15.95,6:39.16,6:41.43,7:51.88,12:10.38
363,10:28.95,10:31.14,11:17.56,11:22.61,17:58.51,18:06.20,38:37.68,1:38.82,1:40.49,2:19.18,2:21.11,3:00.64,3:03.54,4:50.51,4:53.03,5:13.30,5:15.81,6:38.98,6:41.26,7:51.62,12:09.99
364,10:28.66,10:30.86,11:17.25,11:22.31,17:58.02,18:05.71,38:36.53,1:38.77,1:40.44,2:19.12,2:21.05,3:00.56,3:03.46,4:50.38,4:52.90,5:13.16,5:15.67,6:38.81,6:41.08,7:51.36,12:09.59
365,10:28.37,10:30.57,11:16.93,11:22.00,17:57.52,18:05.22,38:35.39,1:38.73,1:40.40,2:19.06,2:20.99,3:00.48,3:03.39,4:50.25,4:52.77,5:13.02,5:15.54,6:38.63,6:40.91,7:51.11,12:09.19
366,10:28.08,10:30.28,11:16.62,11:21.69,17:57.02,18:04.74,38:34.25,1:38.69,1:40.36,2:19.00,2:20.94,3:00.41,3:03.31,4:50.12,4:52.64,5:12.88,5:15.40,6:38.45,6:40.74,7:50.85,12:08.79
367,10:27.79,10:30.00,11:16.31,11:21.38,17:56.53,18:04.25,38:33.11,1:38.65,1:40.32,2:18.94,2:20.88,3:00.33,3:03.23,4:49.99,4:52.52,5:12.74,5:15.27,6:38.28,6:40.56,7:50.59,12:08.39
368,10:27.50,10:29.71,11:16.00,11:21.07,17:56.03,18:03.77,38:31.97,1:38.61,1:40.28,2:18.88,2:20.82,3:00.25,3:03.15,4:49.86,4:52.39,5:12.60,5:15.13,6:38.10,6:40.39,7:50.33,12:07.99
369,10:27.21,10:29.42,11:15.69,11:20.77,17:55.54,18:03.29,38:30.83,1:38.56,1:40.24,2:18.83,2:20.76,3:00.17,3:03.08,4:49.73,4:52.26,5:12.46,5:15.00,6:37.92,6:40.22,7:50.07,12:07.60
370,10:26.93,10:29.14,11:15.38,11:20.46,17:55.04,18:02.80,38:29.69,1:38.52,1:40.19,2:18.77,2:20.70,3:00.10,3:03.00,4:49.60,4:52.14,5:12.32,5:14.86,6:37.75,6:40.04,7:49.82,12:07.20
371,10:26.64,10:28.85,11:15.07,11:20.16,17:54.55,18:02.32,38:28.56,1:38.48,1:40.15,2:18.71,2:20.64,3:00.02,3:02.92,4:49.47,4:52.01,5:12.19,5:14.72,6:37.57,6:39.87,7:49.56,12:06.81
372,10:26.35,10:28.57,11:14.76,11:19.85,17:54.06,18:01.84,38:27.43,1:38.44,1:40.11,2:18.65,2:20.58,2:59.94,3:02.85,4:49.34,4:51.88,5:12.05,5:14.59,6:37.39,6:39.70,7:49.30,12:06.41
373,10:26.06,10:28.29,11:14.45,11:19.54,17:53.57,18:01.36,38:26.29,1:38.40,1:40.07,2:18.59,2:20.53,2:59.86,3:02.77,4:49.22,4:51.76,5:11.91,5:14.45,6:37.22,6:39.53,7:49.05,12:06.02
374,10:25.78,10:28.00,11:14.14,11:19.24,17:53.08,18:00.88,38:25.16,1:38.36,1:40.03,2:18.53,2:20.47,2:59.79,3:02.69,4:49.09,4:51.63,5:11.77,5:14.32,6:37.04,6:39.35,7:48.79,12:05.62
375,10:25.49,10:27.72,11:13.83,11:18.94,17:52.59,18:00.40,38:24.03,1:38.31,1:39.99,2:18.48,2:20.41,2:59.71,3:02.62,4:48.96,4:51.50,5:11.63,5:14.19,6:36.87,6:39.18,7:48.54,12:05.23
376,10:25.20,10:27.44,11:13.53,11:18.63,17:52.10,17:59.92,38:22.91,1:38.27,1:39.94,2:18.42,2:20.35,2:59.63,3:02.54,4:48.83,4:51.38,5:11.49,5:14.05,6:36.69,6:39.01,7:48.28,12:04.84
377,10:24.92,10:27.15,11:13.22,11:18.33,17:51.61,17:59.44,38:21.78,1:38.23,1:39.90,2:18.36,2:20.29,2:59.55,3:02.46,4:48.70,4:51.25,5:11.36,5:13.92,6:36.52,6:38.84,7:48.03,12:04.45
378,10:24.63,10:26.87,11:12.91,11:18.03,17:51.12,17:58.96,38:20.66,1:38.19,1:39.86,2:18.30,2:20.24,2:59.48,3:02.39,4:48.58,4:51.13,5:11.22,5:13.78,6:36.35,6:38.67,7:47.77,12:04.05
379,10:24.35,10:26.59,11:12.61,11:17.72,17:50.63,17:58.48,38:19.53,1:38.15,1:39.82,2:18.24,2:20.18,2:59.40,3:02.31,4:48.45,4:51.00,5:11.08,5:13.65,6:36.17,6:38.50,7:47.52,12:03.66
380,10:24.06,10:26.31,11:12.30,11:17.42,17:50.14,17:58.01,38:18.41,1:38.11,1:39.78,2:18.19,2:20.12,2:59.32,3:02.23,4:48.32,4:50.88,5:10.95,5:13.52,6:36.00,6:38.33,7:47.26,12:03.27
381,10:23.78,10:26.03,11:11.99,11:17.12,17:49.66,17:57.53,38:17.29,1:38.07,1:39.74,2:18.13,2:20.06,2:59.25,3:02.16,4:48.19,4:50.75,5:10.81,5:13.38,6:35.82,6:38.16,7:47.01,12:02.88
382,10:23.50,10:25.75,11:11.69,11:16.82,17:49.17,17:57.06,38:16.18,1:38.02,1:39.70,2:18.07,2:20.00,2:59.17,3:02.08,4:48.07,4:50.63,5:10.67,5:13.25,6:35.65,6:37.98,7:46.76,12:02.49
383,10:23.21,10:25.47,11:11.38,11:16.52,17:48.69,17:56.58,38:15.06,1:37.98,1:39.66,2:18.01,2:19.95,2:59.10,3:02.01,4:47.94,4:50.50,5:10.54,5:13.12,6:35.48,6:37.81,7:46.50,12:02.10
384,10:22.93,10:25.19,11:11.08,11:16.22,17:48.20,17:56.11,38:13.94,1:37.94,1:39.62,2:17.96,2:19.89,2:59.02,3:01.93,4:47.81,4:50.38,5:10.40,5:12.98,6:35.31,6:37.64,7:46.25,12:01.71
385,10:22.65,10:24.91,11:10.78,11:15.91,17:47.72,17:55.63,38:12.83,1:37.90,1:39.58,2:17.90,2:19.83,2:58.94,3:01.86,4:47.69,4:50.25,5:10.26,5:12.85,6:35.13,6:37.48,7:46.00,12:01.33
386,10:22.37,10:24.63,11:10.47,11:15.61,17:47.24,17:55.16,38:11.72,1:37.86,1:39.53,2:17.84,2:19.77,2:58.87,3:01.78,4:47.56,4:50.13,5:10.13,5:12.72,6:34.96,6:37.31,7:45.75,12:00.94
387,10:22.09,10:24.35,11:10.17,11:15.32,17:46.75,17:54.69,38:10.61,1:37.82,1:39.49,2:17.78,2:19.72,2:58.79,3:01.71,4:47.43,4:50.00,5:09.99,5:12.59,6:34.79,6:37.14,7:45.50,12:00.55
388,10:21.80,10:24.07,11:09.87,11:15.02,17:46.27,17:54.22,38:09.50,1:37.78,1:39.45,2:17.73,2:19.66,2:58.72,3:01.63,4:47.31,4:49.88,5:09.86,5:12.45,6:34.62,6:36.97,7:45.24,12:00.16
389,10:21.52,10:23.79,11:09.56,11:14.72,17:45.79,17:53.75,38:08.39,1:37.74,1:39.41,2:17.67,2:19.60,2:58.64,3:01.55,4:47.18,4:49.76,5:09.72,5:12.32,6:34.44,6:36.80,7:44.99,11:59.78
390,10:21.24,10:23.51,11:09.26,11:14.42,17:45.31,17:53.28,38:07.28,1:37.70,1:39.37,2:17.61,2:19.55,2:58.56,3:01.48,4:47.06,4:49.63,5:09.59,5:12.19,6:34.27,6:36.63,7:44.74,11:59.39
391,10:20.96,10:23.24,11:08.96,11:14.12,17:44.83,17:52.81,38:06.18,1:37.66,1:39.33,2:17.56,2:19.49,2:58.49,3:01.40,4:46.93,4:49.51,5:09.45,5:12.06,6:34.10,6:36.46,7:44.49,11:59.01
392,10:20.68,10:22.96,11:08.66,11:13.82,17:44.35,17:52.34,38:05.07,1:37.62,1:39.29,2:17.50,2:19.43,2:58.41,3:01.33,4:46.81,4:49.39,5:09.32,5:11.93,6:33.93,6:36.29,7:44.24,11:58.62
393,10:20.40,10:22.68,11:08.36,11:13.53,17:43.87,17:51.87,38:03.97,1:37.57,1:39.25,2:17.44,2:19.38,2:58.34,3:01.25,4:46.68,4:49.26,5:09.18,5:11.79,6:33.76,6:36.13,7:43.99,11:58.24
394,10:20.12,10:22.41,11:08.06,11:13.23,17:43.39,17:51.40,38:02.87,1:37.53,1:39.21,2:17.39,2:19.32,2:58.26,3:01.18,4:46.56,4:49.14,5:09.05,5:11.66,6:33.59,6:35.96,7:43.74,11:57.86
395,10:19.84,10:22.13,11:07.76,11:12.93,17:42.92,17:50.93,38:01.77,1:37.49,1:39.17,2:17.33,2:19.26,2:58.19,3:01.11,4:46.43,4:49.02,5:08.91,5:11.53,6:33.42,6:35.79,7:43.50,11:57.47
396,10:19.57,10:21.86,11:07.46,11:12.64,17:42.44,17:50.47,38:00.67,1:37.45,1:39.13,2:17.27,2:19.21,2:58.11,3:01.03,4:46.31,4:48.89,5:08.78,5:11.40,6:33.25,6:35.62,7:43.25,11:57.09
397,10:19.29,10:21.58,11:07.16,11:12.34,17:41.96,17:50.00,37:59.57,1:37.41,1:39.09,2:17.22,2:19.15,2:58.04,3:00.96,4:46.18,4:48.77,5:08.64,5:11.27,6:33.08,6:35.46,7:43.00,11:56.71
398,10:19.01,10:21.31,11:06.86,11:12.05,17:41.49,17:49.53,37:58.48,1:37.37,1:39.05,2:17.16,2:19.09,2:57.96,3:00.88,4:46.06,4:48.65,5:08.51,5:11.14,6:32.91,6:35.29,7:42.75,11:56.33
399,10:18.73,10:21.03,11:06.56,11:11.75,17:41.01,17:49.07,37:57.38,1:37.33,1:39.01,2:17.10,2:19.04,2:57.89,3:00.81,4:45.93,4:48.53,5:08.38,5:11.01,6:32.74,6:35.12,7:42.50,11:55.94
400,10:18.46,10:20.76,11:06.26,11:11.46,17:40.54,17:48.60,37:56.29,1:37.29,1:38.97,2:17.05,2:18.98,2:57.81,3:00.73,4:45.81,4:48.40,5:08.24,5:10.88,6:32.57,6:34.96,7:42.26,11:55.56
401,10:18.18,10:20.48,11:05.96,11:11.16,17:40.06,17:48.14,37:55.20,1:37.25,1:38.93,2:16.99,2:18.92,2:57.74,3:00.66,4:45.69,4:48.28,5:08.11,5:10.75,6:32.40,6:34.79,7:42.01,11:55.18
402,10:17.90,10:20.21,11:05.66,11:10.87,17:39.59,17:47.68,37:54.11,1:37.21,1:38.89,2:16.94,2:18.87,2:57.66,3:00.59,4:45.56,4:48.16,5:07.98,5:10.62,6:32.23,6:34.62,7:41.76,11:54.80
403,10:17.63,10:19.94,11:05.37,11:10.57,17:39.12,17:47.21,37:53.02,1:37.17,1:38.85,2:16.88,2:18.81,2:57.59,3:00.51,4:45.44,4:48.04,5:07.84,5:10.49,6:32.06,6:34.46,7:41.52,11:54.42
404,10:17.35,10:19.66,11:05.07,11:10.28,17:38.64,17:46.75,37:51.93,1:37.13,1:38.81,2:16.82,2:18.76,2:57.52,3:00.44,4:45.32,4:47.92,5:07.71,5:10.36,6:31.89,6:34.29,7:41.27,11:54.05
405,10:17.08,10:19.39,11:04.77,11:09.99,17:38.17,17:46.29,37:50.85,1:37.09,1:38.77,2:16.77,2:18.70,2:57.44,3:00.36,4:45.19,4:47.80,5:07.58,5:10.23,6:31.73,6:34.13,7:41.02,11:53.67
406,10:16.80,10:19.12,11:04.48,11:09.70,17:37.70,17:45.83,37:49.76,1:37.05,1:38.73,2:16.71,2:18.64,2:57.37,3:00.29,4:45.07,4:47.68,5:07.45,5:10.10,6:31.56,6:33.96,7:40.78,11:53.29
407,10:16.53,10:18.85,11:04.18,11:09.40,17:37.23,17:45.37,37:48.68,1:37.01,1:38.69,2:16.66,2:18.59,2:57.29,3:00.22,4:44.95,4:47.55,5:07.31,5:09.97,6:31.39,6:33.80,7:40.53,11:52.91
408,10:16.25,10:18.58,11:03.89,11:09.11,17:36.76,17:44.91,37:47.60,1:36.97,1:38.65,2:16.60,2:18.53,2:57.22,3:00.14,4:44.82,4:47.43,5:07.18,5:09.84,6:31.22,6:33.63,7:40.29,11:52.53
409,10:15.98,10:18.30,11:03.59,11:08.82,17:36.29,17:44.45,37:46.52,1:36.93,1:38.61,2:16.55,2:18.48,2:57.15,3:00.07,4:44.70,4:47.31,5:07.05,5:09.71,6:31.05,6:33.47,7:40.04,11:52.16
410,10:15.70,10:18.03,11:03.30,11:08.53,17:35.82,17:43.99,37:45.44,1:36.89,1:38.57,2:16.49,2:18.42,2:57.07,3:00.00,4:44.58,4:47.19,5:06.92,5:09.59,6:30.89,6:33.30,7:39.80,11:51.78
411,10:15.43,10:17.76,11:03.00,11:08.24,17:35.35,17:43.53,37:44.36,1:36.85,1:38.53,2:16.43,2:18.37,2:57.00,2:59.92,4:44.46,4:47.07,5:06.79,5:09.46,6:30.72,6:33.14,7:39.56,11:51.41
412,10:15.16,10:17.49,11:02.71,11:07.95,17:34.89,17:43.07,37:43.28,1:36.81,1:38.49,2:16.38,2:18.31,2:56.92,2:59.85,4:44.33,4:46.95,5:06.65,5:09.33,6:30.55,6:32.98,7:39.31,11:51.03
413,10:14.88,10:17.22,11:02.41,11:07.66,17:34.42,17:42.62,37:42.21,1:36.77,1:38.45,2:16.32,2:18.25,2:56.85,2:59.78,4:44.21,4:46.83,5:06.52,5:09.20,6:30.39,6:32.81,7:39.07,11:50.66
414,10:14.61,10:16.95,11:02.12,11:07.37,17:33.95,17:42.16,37:41.13,1:36.73,1:38.41,2:16.27,2:18.20,2:56.78,2:59.71,4:44.09,4:46.71,5:06.39,5:09.07,6:30.22,6:32.65,7:38.83,11:50.28
415,10:14.34,10:16.68,11:01.83,11:07.08,17:33.49,17:41.70,37:40.06,1:36.69,1:38.37,2:16.21,2:18.14,2:56.70,2:59.63,4:43.97,4:46.59,5:06.26,5:08.94,6:30.05,6:32.49,7:38.58,11:49.91
416,10:14.07,10:16.42,11:01.54,11:06.79,17:33.02,17:41.25,37:38.99,1:36.65,1:38.34,2:16.16,2:18.09,2:56.63,2:59.56,4:43.85,4:46.47,5:06.13,5:08.82,6:29.89,6:32.32,7:38.34,11:49.53
417,10:13.80,10:16.15,11:01.24,11:06.50,17:32.56,17:40.79,37:37.92,1:36.61,1:38.30,2:16.10,2:18.03,2:56.56,2:59.49,4:43.72,4:46.35,5:06.00,5:08.69,6:29.72,6:32.16,7:38.10,11:49.16
418,10:13.53,10:15.88,11:00.95,11:06.21,17:32.09,17:40.34,37:36.85,1:36.57,1:38.26,2:16.05,2:17.98,2:56.49,2:59.42,4:43.60,4:46.23,5:05.87,5:08.56,6:29.56,6:32.00,7:37.86,11:48.79
419,10:13.25,10:15.61,11:00.66,11:05.93,17:31.63,17:39.89,37:35.78,1:36.54,1:38.22,2:15.99,2:17.92,2:56.41,2:59.34,4:43.48,4:46.11,5:05.74,5:08.44,6:29.39,6:31.83,7:37.61,11:48.42
420,10:12.98,10:15.34,11:00.37,11:05.64,17:31.17,17:39.43,37:34.71,1:36.50,1:38.18,2:15.94,2:17.87,2:56.34,2:59.27,4:43.36,4:46.00,5:05.61,5:08.31,6:29.22,6:31.67,7:37.37,11:48.05
421,10:12.71,10:15.08,11:00.08,11:05.35,17:30.70,17:38.98,37:33.65,1:36.46,1:38.14,2:15.88,2:17.81,2:56.27,2:59.20,4:43.24,4:45.88,5:05.48,5:08.18,6:29.06,6:31.51,7:37.13,11:47.67
422,10:12.44,10:14.81,10:59.79,11:05.07,17:30.24,17:38.53,37:32.59,1:36.42,1:38.10,2:15.83,2:17.76,2:56.19,2:59.13,4:43.12,4:45.76,5:05.35,5:08.05,6:28.89,6:31.35,7:36.89,11:47.30
423,10:12.18,10:14.54,10:59.50,11:04.78,17:29.78,17:38.08,37:31.52,1:36.38,1:38.06,2:15.77,2:17.70,2:56.12,2:59.05,4:43.00,4:45.64,5:05.22,5:07.93,6:28.73,6:31.19,7:36.65,11:46.93
424,10:11.91,10:14.28,10:59.21,11:04.49,17:29.32,17:37.62,37:30.46,1:36.34,1:38.02,2:15.72,2:17.65,2:56.05,2:58.98,4:42.88,4:45.52,5:05.09,5:07.80,6:28.57,6:31.02,7:36.41,11:46.56
425,10:11.64,10:14.01,10:58.92,11:04.21,17:28.86,17:37.17,37:29.40,1:36.30,1:37.98,2:15.67,2:17.59,2:55.98,2:58.91,4:42.76,4:45.40,5:04.96,5:07.67,6:28.40,6:30.86,7:36.17,11:46.19
426,10:11.37,10:13.74,10:58.63,11:03.92,17:28.40,17:36.72,37:28.34,1:36.26,1:37.94,2:15.61,2:17.54,2:55.90,2:58.84,4:42.64,4:45.28,5:04.83,5:07.55,6:28.24,6:30.70,7:35.93,11:45.83
427,10:11.10,10:13.48,10:58.34,11:03.64,17:27.94,17:36.27,37:27.28,1:36.22,1:37.91,2:15.56,2:17.49,2:55.83,2:58.77,4:42.52,4:45.17,5:04.70,5:07.42,6:28.07,6:30.54,7:35.69,11:45.46
