Points,3000m,3000m sh,2 Miles,2 Miles sh,5000m,5000m sh,10000m,600m,600m sh,800m,800m sh,1000m,1000m sh,1500m,1500m sh,Mile,Mile sh,2000m,2000m sh,2000m SC,3000m SC
25,13:04.61,13:05.19,14:05.16,14:08.11,22:25.13,22:27.15,48:51.57,2:01.44,2:02.99,2:50.76,2:52.74,3:42.57,3:45.18,6:00.20,6:01.60,6:28.31,6:28.97,8:14.14,8:14.74,10:10.56,15:43.89
26,13:03.51,13:04.10,14:03.98,14:06.94,22:23.25,22:25.31,48:47.24,2:01.28,2:02.83,2:50.54,2:52.52,3:42.28,3:44.89,5:59.71,6:01.11,6:27.78,6:28.45,8:13.47,8:14.08,10:09.58,15:42.38
27,13:02.44,13:03.04,14:02.82,14:05.80,22:21.41,22:23.50,48:43.00,2:01.13,2:02.67,2:50.32,2:52.30,3:41.99,3:44.60,5:59.23,6:00.64,6:27.26,6:27.94,8:12.81,8:13.43,10:08.62,15:40.90
28,13:01.38,13:01.99,14:01.68,14:04.68,22:19.60,22:21.73,48:38.83,2:00.97,2:02.52,2:50.10,2:52.09,3:41.70,3:44.32,5:58.75,6:00.18,6:26.75,6:27.45,8:12.16,8:12.80,10:07.68,15:39.45
29,13:00.34,13:00.96,14:00.57,14:03.57,22:17.82,22:19.99,48:34.74,2:00.82,2:02.37,2:49.89,2:51.87,3:41.43,3:44.04,5:58.29,5:59.72,6:26.25,6:26.96,8:11.53,8:12.17,10:06.75,15:38.02
30,12:59.32,12:59.95,13:59.47,14:02.49,22:16.08,22:18.29,48:30.72,2:00.68,2:02.22,2:49.69,2:51.67,3:41.15,3:43.77,5:57.83,5:59.27,6:25.76,6:26.48,8:10.91,8:11.56,10:05.84,15:36.62
31,12:58.32,12:58.96,13:58.39,14:01.42,22:14.36,22:16.60,48:26.77,2:00.53,2:02.08,2:49.48,2:51.46,3:40.88,3:43.50,5:57.38,5:58.83,6:25.28,6:26.01,8:10.29,8:10.96,10:04.95,15:35.24
32,12:57.33,12:57.99,13:57.33,14:00.37,22:12.67,22:14.95,48:22.87,2:00.39,2:01.94,2:49.28,2:51.26,3:40.61,3:43.23,5:56.94,5:58.39,6:24.80,6:25.55,8:09.69,8:10.37,10:04.07,15:33.89
33,12:56.36,12:57.02,13:56.28,13:59.34,22:11.00,22:13.32,48:19.04,2:00.25,2:01.80,2:49.09,2:51.07,3:40.35,3:42.97,5:56.51,5:57.96,6:24.33,6:25.09,8:09.10,8:09.78,10:03.20,15:32.55
34,12:55.41,12:56.08,13:55.25,13:58.32,22:09.36,22:11.72,48:15.27,2:00.11,2:01.66,2:48.89,2:50.87,3:40.09,3:42.72,5:56.08,5:57.54,6:23.87,6:24.64,8:08.51,8:09.21,10:02.34,15:31.24
35,12:54.46,12:55.14,13:54.24,13:57.32,22:07.75,22:10.14,48:11.55,1:59.97,2:01.52,2:48.70,2:50.68,3:39.84,3:42.47,5:55.66,5:57.13,6:23.42,6:24.20,8:07.94,8:08.64,10:01.50,15:29.94
36,12:53.53,12:54.22,13:53.23,13:56.33,22:06.16,22:08.58,48:07.88,1:59.83,2:01.39,2:48.51,2:50.49,3:39.59,3:42.22,5:55.24,5:56.72,6:22.97,6:23.76,8:07.37,8:08.08,10:00.67,15:28.67
37,12:52.62,12:53.32,13:52.25,13:55.36,22:04.59,22:07.04,48:04.27,1:59.70,2:01.25,2:48.33,2:50.30,3:39.34,3:41.97,5:54.83,5:56.31,6:22.53,6:23.33,8:06.81,8:07.53,9:59.86,15:27.41
38,12:51.71,12:52.42,13:51.27,13:54.40,22:03.04,22:05.52,48:00.70,1:59.57,2:01.12,2:48.14,2:50.12,3:39.10,3:41.73,5:54.42,5:55.92,6:22.09,6:22.90,8:06.25,8:06.99,9:59.05,15:26.16
39,12:50.82,12:51.54,13:50.31,13:53.45,22:01.51,22:04.03,47:57.18,1:59.44,2:01.00,2:47.96,2:49.94,3:38.86,3:41.49,5:54.02,5:55.52,6:21.66,6:22.48,8:05.71,8:06.45,9:58.25,15:24.94
40,12:49.94,12:50.67,13:49.36,13:52.51,22:00.00,22:02.55,47:53.71,1:59.31,2:00.87,2:47.78,2:49.76,3:38.62,3:41.26,5:53.63,5:55.13,6:21.24,6:22.07,8:05.17,8:05.92,9:57.46,15:23.73
41,12:49.07,12:49.80,13:48.43,13:51.59,21:58.51,22:01.09,47:50.27,1:59.18,2:00.74,2:47.61,2:49.58,3:38.39,3:41.02,5:53.24,5:54.75,6:20.82,6:21.66,8:04.64,8:05.40,9:56.69,15:22.53
42,12:48.21,12:48.95,13:47.50,13:50.67,21:57.04,21:59.65,47:46.88,1:59.06,2:00.62,2:47.43,2:49.41,3:38.16,3:40.79,5:52.86,5:54.37,6:20.40,6:21.26,8:04.11,8:04.89,9:55.92,15:21.35
43,12:47.36,12:48.11,13:46.59,13:49.77,21:55.58,21:58.23,47:43.53,1:58.94,2:00.49,2:47.26,2:49.24,3:37.93,3:40.57,5:52.47,5:54.00,6:19.99,6:20.86,8:03.59,8:04.38,9:55.16,15:20.18
44,12:46.52,12:47.28,13:45.68,13:48.88,21:54.14,21:56.82,47:40.22,1:58.81,2:00.37,2:47.09,2:49.07,3:37.70,3:40.34,5:52.10,5:53.63,6:19.59,6:20.46,8:03.08,8:03.87,9:54.41,15:19.03
45,12:45.69,12:46.46,13:44.79,13:47.99,21:52.72,21:55.43,47:36.95,1:58.69,2:00.25,2:46.92,2:48.90,3:37.48,3:40.12,5:51.73,5:53.26,6:19.19,6:20.07,8:02.57,8:03.37,9:53.67,15:17.89
46,12:44.87,12:45.65,13:43.90,13:47.12,21:51.31,21:54.05,47:33.71,1:58.57,2:00.13,2:46.75,2:48.73,3:37.26,3:39.90,5:51.36,5:52.90,6:18.79,6:19.69,8:02.07,8:02.88,9:52.94,15:16.76
47,12:44.06,12:44.84,13:43.03,13:46.26,21:49.92,21:52.69,47:30.50,1:58.46,2:00.02,2:46.59,2:48.56,3:37.04,3:39.68,5:51.00,5:52.54,6:18.40,6:19.31,8:01.57,8:02.39,9:52.21,15:15.64
48,12:43.25,12:44.05,13:42.16,13:45.40,21:48.55,21:51.34,47:27.34,1:58.34,1:59.90,2:46.43,2:48.40,3:36.82,3:39.47,5:50.64,5:52.19,6:18.01,6:18.93,8:01.08,8:01.91,9:51.50,15:14.54
49,12:42.46,12:43.26,13:41.31,13:44.56,21:47.18,21:50.01,47:24.20,1:58.22,1:59.79,2:46.26,2:48.24,3:36.61,3:39.25,5:50.28,5:51.84,6:17.63,6:18.55,8:00.60,8:01.43,9:50.79,15:13.44
50,12:41.67,12:42.48,13:40.46,13:43.72,21:45.84,21:48.69,47:21.09,1:58.11,1:59.67,2:46.10,2:48.08,3:36.39,3:39.04,5:49.93,5:51.49,6:17.25,6:18.18,8:00.11,8:00.96,9:50.08,15:12.36
51,12:40.89,12:41.71,13:39.62,13:42.89,21:44.50,21:47.38,47:18.02,1:58.00,1:59.56,2:45.95,2:47.92,3:36.18,3:38.83,5:49.58,5:51.15,6:16.88,6:17.82,7:59.64,8:00.49,9:49.39,15:11.29
52,12:40.12,12:40.95,13:38.79,13:42.07,21:43.18,21:46.09,47:14.98,1:57.88,1:59.45,2:45.79,2:47.76,3:35.98,3:38.63,5:49.23,5:50.81,6:16.50,6:17.46,7:59.17,8:00.03,9:48.70,15:10.23
53,12:39.35,12:40.19,13:37.97,13:41.26,21:41.87,21:44.81,47:11.96,1:57.77,1:59.34,2:45.63,2:47.61,3:35.77,3:38.42,5:48.89,5:50.47,6:16.14,6:17.10,7:58.70,7:59.57,9:48.02,15:09.18
54,12:38.60,12:39.44,13:37.15,13:40.45,21:40.57,21:43.54,47:08.98,1:57.66,1:59.23,2:45.48,2:47.46,3:35.57,3:38.22,5:48.55,5:50.14,6:15.77,6:16.74,7:58.24,7:59.11,9:47.34,15:08.14
